100,16.22,one
200,16.17676767676768,one
300,33.34113712374582,one
400,13.511450381679388,one
500,13.40329218106996,one
600,23.817708333333332,one
700,13.35103244837758,one
800,12.959896507115136,one
900,14.955503512880561,one
1000,11.109730848861284,one
1100,9.090648854961833,one
1200,7.265017667844523,one
1300,7.406351791530945,one
1400,7.413925019127774,one
1500,7.412437455325232,one
1600,7.075420875420876,one
1700,9.119260204081632,one
1800,8.43987915407855,one
 

1800,7.04601226993865,one
